id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
11461,Chevrolet,Aveo,1.3 D LT,2012.0,172000.0,Düz,Dizel,Sedan,Beyaz,1248.0,75.0,0.0,3.0,Sahibinden,475000.0
11462,Chevrolet,Lacetti,1.6 SX,2006.0,135500.0,Düz,Benzin,Sedan,Gri (Gümüş),1598.0,109.0,3.0,1.0,Sahibinden,400000.0
11463,Chevrolet,Aveo,1.3 D LT,2013.0,107000.0,Düz,Dizel,Sedan,Beyaz,1248.0,75.0,0.0,2.0,Sahibinden,640000.0
11464,Chevrolet,Cruze,1.6 LS,2010.0,252000.0,Düz,LPG & Benzin,Sedan,Gri,1598.0,124.0,0.0,7.0,Sahibinden,399000.0
11465,Chevrolet,Lacetti,1.6 SX,2005.0,168000.0,Düz,Benzin,Station wagon,Kahverengi,1598.0,109.0,3.0,2.0,Sahibinden,375000.0
11466,Chevrolet,Lacetti,1.4 SE,2005.0,168000.0,Düz,Benzin,Hatchback/5,Kahverengi,1598.0,109.0,3.0,2.0,Sahibinden,375000.0
11467,Chevrolet,Aveo,1.3 D LT,2012.0,244000.0,Düz,Dizel,Sedan,Beyaz,1248.0,75.0,2.0,2.0,Sahibinden,435000.0
11468,Chevrolet,Aveo,1.2 S,2011.0,157000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1206.0,84.0,,,Sahibinden,380000.0
11469,Chevrolet,Cruze,1.6 Design Edition,2011.0,205000.0,Otomatik,LPG & Benzin,Sedan,Beyaz,1598.0,124.0,0.0,4.0,Sahibinden,590000.0
11470,Chevrolet,Lacetti,1.4 SE,2010.0,245000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1399.0,95.0,1.0,2.0,Sahibinden,329000.0
11471,Chevrolet,Cruze,1.6 LS Plus,2011.0,178000.0,Düz,Benzin,Sedan,Siyah,1598.0,124.0,2.0,2.0,Sahibinden,515000.0
11472,Chevrolet,Rezzo,1.6 SX Comfort,2005.0,163000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),,88.0,0.0,0.0,Sahibinden,280000.0
11473,Chevrolet,Aveo,1.4 LT,2011.0,128256.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1398.0,100.0,0.0,1.0,Sahibinden,400000.0
11474,Chevrolet,Lacetti,1.6 SX,2005.0,231000.0,Düz,LPG & Benzin,Hatchback/5,Mavi,1500.0,,0.0,10.0,Sahibinden,325000.0
11475,Chevrolet,Kalos,1.2 SE,2004.0,219000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1150.0,72.0,0.0,2.0,Sahibinden,260000.0
11476,Chevrolet,Kalos,1.4 SE,2005.0,280000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1399.0,83.0,0.0,0.0,Sahibinden,310000.0
