marka,model_tam,yil,km,fiyat,renk,sehir,ilce,satici_tipi,seri,trim
BMW,5 Serisi 520i Special Edition Luxury Line,2021,102.0,3.430.000 TL,Füme,İstanbul,Kadıköy,Galeriden,5 Serisi,520i Special Edition Luxury Line
BMW,3 Serisi 318i Edition Sport Line,2017,128.0,1.720.000 TL,Beyaz,Ankara,Yenimahalle,Galeriden,3 Serisi,318i Edition Sport Line
BMW,3 Serisi 320d Standart,2013,203.7,1.345.000 TL,Siyah,İzmir,Bornova,Galeriden,3 Serisi,320d Standart
BMW,3 Serisi 320i,1999,296.0,535.000 TL,Gümüş Gri,Ankara,Çankaya,Galeriden,3 Serisi,320i
BMW,3 Serisi 320d Standart,2014,290.0,1.295.000 TL,Beyaz,Bartın,Merkez,Galeriden,3 Serisi,320d Standart
BMW,5 Serisi 520i Luxury Line,2023,41.0,4.570.000 TL,Gri,İstanbul,Avcılar,Sahibinden,5 Serisi,520i Luxury Line
BMW,5 Serisi 520i M Sport,2019,155.0,3.085.000 TL,Siyah,İstanbul,Bağcılar,Galeriden,5 Serisi,520i M Sport
BMW,3 Serisi 320d M Sport,2012,252.0,1.175.000 TL,Siyah,Bursa,Nilüfer,Galeriden,3 Serisi,320d M Sport
BMW,i Serisi i4 eDrive 40,2024,48.0,3.755.000 TL,Siyah,Konya,Karatay,Galeriden,i Serisi,i4 eDrive 40
BMW,3 Serisi 320i ED M Plus,2015,189.0,1.495.000 TL,Gri,Ankara,Yenimahalle,Galeriden,3 Serisi,320i ED M Plus
BMW,3 Serisi 320d M Sport,2013,262.0,1.635.000 TL,Mavi,Bursa,Yıldırım,Galeriden,3 Serisi,320d M Sport
BMW,3 Serisi 320i ED Sport Line,2015,169.0,1.790.000 TL,Füme,Trabzon,Ortahisar,Galeriden,3 Serisi,320i ED Sport Line
BMW,1 Serisi 116d First Edition M Sport,2019,96.0,1.985.000 TL,Kırmızı,İstanbul,Bağcılar,Galeriden,1 Serisi,116d First Edition M Sport
BMW,5 Serisi 525d Standart,2005,392.0,789.750 TL,Siyah,Bolu,Merkez,Galeriden,5 Serisi,525d Standart
BMW,3 Serisi 320d M Sport,2012,270.0,1.195.000 TL,Beyaz,Aydın,Efeler,Galeriden,3 Serisi,320d M Sport
BMW,i Serisi i4 eDrive 40,2025,20.9,4.900.000 TL,Mavi,İstanbul,Beylikdüzü,Galeriden,i Serisi,i4 eDrive 40
BMW,5 Serisi 520i Premium,2015,115.0,2.175.000 TL,Beyaz,Isparta,Yalvaç,Galeriden,5 Serisi,520i Premium
BMW,5 Serisi 520d M Sport,2011,310.0,1.490.000 TL,Siyah,İstanbul,Beylikdüzü,Galeriden,5 Serisi,520d M Sport
BMW,5 Serisi 520i M Sport,2016,78.1,2.270.000 TL,Beyaz,Manisa,Turgutlu,Sahibinden,5 Serisi,520i M Sport
BMW,5 Serisi 520i Special Edition Luxury,2021,93.0,3.350.000 TL,Mavi,İstanbul,Maltepe,Galeriden,5 Serisi,520i Special Edition Luxury
BMW,5 Serisi 520d xDrive M Sport,2020,143.0,4.350.000 TL,Mavi,Ankara,Keçiören,Galeriden,5 Serisi,520d xDrive M Sport
BMW,5 Serisi 520d M Sport,2013,299.0,1.625.000 TL,Gri,Muğla,Menteşe,Galeriden,5 Serisi,520d M Sport
BMW,i Serisi i5 eDrive 40,2023,37.0,4.650.000 TL,Gri,Isparta,Merkez,Galeriden,i Serisi,i5 eDrive 40
BMW,3 Serisi 320d xDrive Sport,2011,212.0,1.049.900 TL,Siyah,Denizli,Pamukkale,Galeriden,3 Serisi,320d xDrive Sport
BMW,4 Serisi 430i xDrive M Sport,2022,7.0,9.100.000 TL,Yeşil,Antalya,Muratpaşa,Sahibinden,4 Serisi,430i xDrive M Sport
BMW,5 Serisi 520d M Sport,2011,315.0,1.625.000 TL,Siyah,Mersin,Erdemli,Galeriden,5 Serisi,520d M Sport
BMW,3 Serisi 320i ED Luxury Line,2016,260.0,1.230.000 TL,Beyaz,İzmir,Bornova,Galeriden,3 Serisi,320i ED Luxury Line
BMW,i Serisi i7 xDrive60 Pure Excellence,2024,6.05,11.500.000 TL,Siyah,İstanbul,Beylikdüzü,Sahibinden,i Serisi,i7 xDrive60 Pure Excellence
BMW,5 Serisi 520i Standart,1999,330.0,675.000 TL,Bordo,Ankara,Kızılcahamam,Galeriden,5 Serisi,520i Standart
BMW,3 Serisi 320i ED M Plus,2015,215.0,1.450.000 TL,Beyaz,Ankara,Keçiören,Galeriden,3 Serisi,320i ED M Plus
BMW,5 Serisi 520i Executive Plus,2016,114.0,2.250.000 TL,Beyaz,Muğla,Bodrum,Sahibinden,5 Serisi,520i Executive Plus
BMW,3 Serisi 320i Sport Line,2021,98.75,2.449.750 TL,Siyah,Bursa,Yıldırım,Galeriden,3 Serisi,320i Sport Line
BMW,5 Serisi 520i M Sport,2022,140.0,3.455.000 TL,Siyah,Gaziantep,Şehitkamil,Galeriden,5 Serisi,520i M Sport
BMW,4 Serisi 430i Coupe Edition M Sport,2021,121.5,4.250.000 TL,Mavi,Antalya,Döşemealtı,Galeriden,4 Serisi,430i Coupe Edition M Sport
BMW,5 Serisi 520i Special Edition M Sport,2021,48.0,4.345.000 TL,Siyah,Trabzon,Ortahisar,Galeriden,5 Serisi,520i Special Edition M Sport
BMW,5 Serisi 520i Comfort Plus,2018,139.0,2.528.000 TL,Gri,İstanbul,Ümraniye,Galeriden,5 Serisi,520i Comfort Plus
BMW,3 Serisi 316i M Sport,2013,198.0,1.340.000 TL,Beyaz,Ankara,Keçiören,Galeriden,3 Serisi,316i M Sport
BMW,3 Serisi 318Ci,2001,335.0,595.000 TL,Mavi,Bursa,Osmangazi,Galeriden,3 Serisi,318Ci
BMW,5 Serisi 520i Special Edition M Sport,2020,153.0,3.025.000 TL,Siyah,Zonguldak,Merkez,Galeriden,5 Serisi,520i Special Edition M Sport
BMW,i Serisi i8 Premium Techno,2015,186.7,4.425.000 TL,Gri,Tekirdağ,Marmaraereğlisi,Galeriden,i Serisi,i8 Premium Techno
BMW,3 Serisi 320i ED Sport Line,2015,238.0,1.220.000 TL,Füme,Antalya,Muratpaşa,Sahibinden,3 Serisi,320i ED Sport Line
BMW,5 Serisi 520i Executive M Sport,2016,100.0,2.285.000 TL,Siyah,İstanbul,Başakşehir,Galeriden,5 Serisi,520i Executive M Sport
BMW,5 Serisi 520d xDrive M Sport,2023,39.0,6.150.000 TL,Gri,Mersin,Yenişehir,Galeriden,5 Serisi,520d xDrive M Sport
